branch_to_update,rescue_task_type,n_plan_rows,n_with_manual_label,manual_label_coverage_pct,correct_n,partial_n,incorrect_n,partial_or_incorrect_n,correct_pct_among_labeled,partial_or_incorrect_pct_among_labeled
A,entity_regrounding,303,96,31.68,28,36,32,68,29.17,70.83
A,value_or_operator_recovery,256,76,29.69,18,33,25,58,23.68,76.32
A,temporal_context_recovery,134,37,27.61,10,21,6,27,27.03,72.97
A,history_context_recovery,39,12,30.77,5,2,5,7,41.67,58.33
A,conservative_structural_recovery,34,6,17.65,6,0,0,0,100.0,0.0
A,entity_type_reclassification,17,6,35.29,2,3,1,4,33.33,66.67
A,polarity_negation_repair,12,4,33.33,0,0,4,4,0.0,100.0
B,entity_regrounding,223,61,27.35,59,2,0,2,96.72,3.28
B,value_or_operator_recovery,66,15,22.73,10,4,1,5,66.67,33.33
B,temporal_context_recovery,36,14,38.89,12,2,0,2,85.71,14.29
B,branch_b_field_level_semantic_judge,34,7,20.59,4,1,2,3,57.14,42.86
B,condition_exception_context_recovery,30,10,33.33,8,2,0,2,80.0,20.0
B,polarity_negation_repair,24,1,4.17,1,0,0,0,100.0,0.0
B,history_context_recovery,17,7,41.18,6,1,0,1,85.71,14.29
