branch,criterion_id,document_id,repair_action,repair_applied,changed_fields,unexpected_changed_fields,expected_changed_fields,check_status,check_reason,raw_computability,repaired_computability,raw_non_computable_reason,repaired_non_computable_reason,has_pending_conservative_issue,pending_conservative_issues
A,NCT00319748_inc__item4_C1,NCT00319748,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT00319748_inc__item4_C2,NCT00319748,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT00319748_inc__item13_C4,NCT00319748,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT00319748_inc__item13_C5,NCT00319748,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT00319748_exc__item16_C2,NCT00319748,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT01793519_inc__item3_C8,NCT01793519,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT02525991_inc__item9_C1,NCT02525991,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT02525991_inc__item9_C2,NCT02525991,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT02525991_inc__item9_C5,NCT02525991,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT02525991_inc__item9_C6,NCT02525991,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT02525991_inc__item9_C7,NCT02525991,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT02525991_inc__item9_C8,NCT02525991,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT02201316_exc__item1_C1,NCT02201316,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT02201316_exc__item1_C2,NCT02201316,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT01856491_exc__item3_C1,NCT01856491,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT01856491_exc__item3_C3,NCT01856491,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,1,list_operator_without_list_value
A,NCT01856491_exc__item3_C4,NCT01856491,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,1,list_operator_without_list_value
A,NCT02874092_exc__item13_C1,NCT02874092,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT02874092_exc__item13_C2,NCT02874092,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT02874092_exc__item13_C3,NCT02874092,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
A,NCT02874092_exc__item13_C4,NCT02874092,computable_with_exception_context,1,computability;non_computable_reason,,computability;non_computable_reason,pass,,computable,partial,,exception_context_unresolved,0,
